threshold,apcer,bpcer,acer
0.05,0.0017809707800048298,0.0004904364884747426,0.0011357036342397862
0.1,0.0013583675440714802,0.0005517410495340853,0.0009550542968027828
0.15000000000000002,0.0011772518715286162,0.000674350171652771,0.0009258010215906936
0.2,0.0010866940352571844,0.000674350171652771,0.0008805221034549777
0.25,0.0009961361989857523,0.000674350171652771,0.0008352431853192616
0.3,0.0009659502535619416,0.000674350171652771,0.0008201502126073563
0.35000000000000003,0.0008150205264428882,0.0007356547327121138,0.000775337629577501
0.4,0.0007244626901714562,0.0007969592937714566,0.0007607109919714563
0.45,0.0006640907993238349,0.0008582638548307994,0.0007611773270773171
0.5,0.0006640907993238349,0.0009195684158901423,0.0007918296076069886
0.55,0.0006339048539000242,0.0010421775380088278,0.000838041195954426
0.6000000000000001,0.0005433470176285922,0.0011647866601275135,0.0008540668388780529
0.6500000000000001,0.0004829751267809708,0.001287395782246199,0.0008851854545135849
0.7000000000000001,0.0004829751267809708,0.001348700343305542,0.0009158377350432564
0.7500000000000001,0.00042260323593334943,0.0014713094654242277,0.0009469563506787885
0.8,0.0003924172905095388,0.0017165277096615988,0.0010544725000855688
0.8500000000000001,0.0002414875633904854,0.0020230505149583127,0.001132269039174399
0.9000000000000001,0.00021130161796667471,0.002268268759195684,0.0012397851885811795
0.9500000000000001,0.00015092972711905337,0.0028813143697891124,0.001516122048454083
